date,league,home_team,away_team,home_odds,draw_odds,away_odds,source,home_form,away_form,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,home_possession,away_possession,home_shots,away_shots,over_under_2.5,btts_yes,btts_no
2025-04-19,Premier League,Manchester City,Liverpool,2.94,4.76,3.27,SofaScore,W4D2L1,W3D1L0,4.0,2.0,1.0,3.0,1.0,0.0,,,,,,,
2025-04-19,Premier League,Chelsea,Arsenal,1.84,4.84,3.04,SofaScore,W2D0L3,W5D0L0,2.0,0.0,3.0,5.0,0.0,0.0,,,,,,,
2025-04-19,La Liga,Real Madrid,Barcelona,1.72,4.02,2.24,SofaScore,W4D1L3,W4D0L3,4.0,1.0,3.0,4.0,0.0,3.0,,,,,,,
2025-04-19,La Liga,Atletico Madrid,Sevilla,2.74,4.42,3.8,SofaScore,W5D0L0,W3D2L3,5.0,0.0,0.0,3.0,2.0,3.0,,,,,,,
2025-04-19,Serie A,Inter,Milan,2.21,3.62,1.56,SofaScore,W1D2L0,W2D1L2,1.0,2.0,0.0,2.0,1.0,2.0,,,,,,,
2025-04-19,Serie A,Juventus,Napoli,2.52,4.54,2.58,SofaScore,W4D2L2,W3D1L3,4.0,2.0,2.0,3.0,1.0,3.0,,,,,,,
2025-04-19,Bundesliga,Bayern Munich,Dortmund,2.98,4.57,3.33,SofaScore,W4D1L3,W1D1L0,4.0,1.0,3.0,1.0,1.0,0.0,,,,,,,
2025-04-19,Bundesliga,Leipzig,Leverkusen,2.55,3.74,1.97,SofaScore,W3D2L0,W1D2L0,3.0,2.0,0.0,1.0,2.0,0.0,,,,,,,
2025-04-19,Ligue 1,PSG,Marseille,3.49,3.71,2.08,SofaScore,W1D1L3,W2D2L1,1.0,1.0,3.0,2.0,2.0,1.0,,,,,,,
2025-04-19,Ligue 1,Lyon,Monaco,1.7,2.79,2.17,SofaScore,W2D1L0,W2D0L3,2.0,1.0,0.0,2.0,0.0,3.0,,,,,,,
2025-04-20,Premier League,Manchester City,Liverpool,2.09,3.21,1.96,SofaScore,W4D1L2,W1D2L2,4.0,1.0,2.0,1.0,2.0,2.0,,,,,,,
2025-04-20,Premier League,Chelsea,Arsenal,3.03,4.34,3.5,SofaScore,W3D0L2,W2D2L0,3.0,0.0,2.0,2.0,2.0,0.0,,,,,,,
2025-04-20,La Liga,Real Madrid,Barcelona,3.12,2.27,1.83,SofaScore,W5D0L3,W5D0L0,5.0,0.0,3.0,5.0,0.0,0.0,,,,,,,
2025-04-20,La Liga,Atletico Madrid,Sevilla,3.2,3.27,1.84,SofaScore,W1D2L1,W4D2L3,1.0,2.0,1.0,4.0,2.0,3.0,,,,,,,
2025-04-20,Serie A,Inter,Milan,3.15,4.1,1.51,SofaScore,W5D2L2,W4D0L0,5.0,2.0,2.0,4.0,0.0,0.0,,,,,,,
2025-04-20,Serie A,Juventus,Napoli,2.45,4.44,1.84,SofaScore,W3D2L2,W2D1L2,3.0,2.0,2.0,2.0,1.0,2.0,,,,,,,
2025-04-20,Bundesliga,Bayern Munich,Dortmund,2.41,3.22,3.52,SofaScore,W2D0L0,W5D1L1,2.0,0.0,0.0,5.0,1.0,1.0,,,,,,,
2025-04-20,Bundesliga,Leipzig,Leverkusen,2.67,3.12,2.49,SofaScore,W1D2L1,W5D0L0,1.0,2.0,1.0,5.0,0.0,0.0,,,,,,,
