date,home_team,away_team,league,source,home_odds,draw_odds,away_odds,data_timestamp
2025-04-19,Manchester City,Liverpool,Premier League,sofascore,2.74,2.81,1.83,2025-04-19T14:13:06.360763
2025-04-19,Chelsea,Arsenal,Premier League,sofascore,2.26,2.85,2.3,2025-04-19T14:13:06.360783
2025-04-19,Real Madrid,Barcelona,La Liga,sofascore,3.72,4.72,1.59,2025-04-19T14:13:06.360787
2025-04-19,Atletico Madrid,Sevilla,La Liga,sofascore,2.98,2.9,3.06,2025-04-19T14:13:06.360790
2025-04-19,Inter,Milan,Serie A,sofascore,2.88,4.59,2.14,2025-04-19T14:13:06.360793
2025-04-19,Juventus,Napoli,Serie A,sofascore,3.88,2.72,3.6,2025-04-19T14:13:06.360796
2025-04-19,Bayern Munich,Dortmund,Bundesliga,sofascore,1.57,2.01,2.24,2025-04-19T14:13:06.360799
2025-04-19,Leipzig,Leverkusen,Bundesliga,sofascore,1.97,2.53,1.53,2025-04-19T14:13:06.360802
2025-04-19,PSG,Marseille,Ligue 1,sofascore,3.91,3.46,2.14,2025-04-19T14:13:06.360805
2025-04-19,Lyon,Monaco,Ligue 1,sofascore,1.78,4.2,1.52,2025-04-19T14:13:06.360809
2025-04-20,Manchester City,Liverpool,Premier League,sofascore,3.47,3.14,2.73,2025-04-19T14:13:06.360812
2025-04-20,Chelsea,Arsenal,Premier League,sofascore,2.08,2.67,3.74,2025-04-19T14:13:06.360815
2025-04-20,Real Madrid,Barcelona,La Liga,sofascore,2.57,2.73,3.33,2025-04-19T14:13:06.360818
2025-04-20,Atletico Madrid,Sevilla,La Liga,sofascore,3.46,3.72,2.74,2025-04-19T14:13:06.360821
2025-04-20,Inter,Milan,Serie A,sofascore,3.26,4.32,2.16,2025-04-19T14:13:06.360824
2025-04-20,Juventus,Napoli,Serie A,sofascore,3.91,4.92,3.98,2025-04-19T14:13:06.360846
2025-04-20,Bayern Munich,Dortmund,Bundesliga,sofascore,2.32,4.31,2.79,2025-04-19T14:13:06.360849
2025-04-20,Leipzig,Leverkusen,Bundesliga,sofascore,3.54,2.8,1.82,2025-04-19T14:13:06.360853
2025-04-20,PSG,Marseille,Ligue 1,sofascore,1.57,3.88,2.01,2025-04-19T14:13:06.360857
2025-04-20,Lyon,Monaco,Ligue 1,sofascore,2.02,3.34,3.88,2025-04-19T14:13:06.360860
2025-04-21,Manchester City,Liverpool,Premier League,sofascore,1.92,4.3,2.58,2025-04-19T14:13:06.360863
2025-04-21,Chelsea,Arsenal,Premier League,sofascore,3.13,2.55,3.59,2025-04-19T14:13:06.360866
2025-04-21,Real Madrid,Barcelona,La Liga,sofascore,1.86,3.6,3.83,2025-04-19T14:13:06.360869
2025-04-21,Atletico Madrid,Sevilla,La Liga,sofascore,3.69,4.57,2.05,2025-04-19T14:13:06.360872
