date,league,home_team,away_team,home_odds,draw_odds,away_odds,source,home_form,away_form,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,home_possession,away_possession,home_shots,away_shots,over_under_2.5,btts_yes,btts_no
2025-04-19,Premier League,Manchester City,Liverpool,3.25,3.14,3.11,SofaScore,W4D2L1,W4D1L0,4.0,2.0,1.0,4.0,1.0,0.0,,,,,,,
2025-04-19,Premier League,Chelsea,Arsenal,2.67,3.38,3.71,SofaScore,W2D1L1,W4D2L3,2.0,1.0,1.0,4.0,2.0,3.0,,,,,,,
2025-04-19,La Liga,Real Madrid,Barcelona,3.78,4.09,3.54,SofaScore,W2D1L0,W3D0L3,2.0,1.0,0.0,3.0,0.0,3.0,,,,,,,
2025-04-19,La Liga,Atletico Madrid,Sevilla,2.66,2.99,3.52,SofaScore,W5D1L3,W4D2L0,5.0,1.0,3.0,4.0,2.0,0.0,,,,,,,
2025-04-19,Serie A,Inter,Milan,2.89,2.91,2.09,SofaScore,W5D0L3,W4D1L0,5.0,0.0,3.0,4.0,1.0,0.0,,,,,,,
2025-04-19,Serie A,Juventus,Napoli,3.96,4.1,3.79,SofaScore,W4D1L2,W1D2L2,4.0,1.0,2.0,1.0,2.0,2.0,,,,,,,
2025-04-19,Bundesliga,Bayern Munich,Dortmund,3.66,2.91,1.53,SofaScore,W4D1L0,W3D0L2,4.0,1.0,0.0,3.0,0.0,2.0,,,,,,,
2025-04-19,Bundesliga,Leipzig,Leverkusen,3.82,2.14,3.95,SofaScore,W5D2L2,W1D0L1,5.0,2.0,2.0,1.0,0.0,1.0,,,,,,,
2025-04-19,Ligue 1,PSG,Marseille,2.82,3.63,1.54,SofaScore,W3D0L1,W5D0L1,3.0,0.0,1.0,5.0,0.0,1.0,,,,,,,
2025-04-19,Ligue 1,Lyon,Monaco,3.72,4.75,2.85,SofaScore,W4D2L0,W5D2L1,4.0,2.0,0.0,5.0,2.0,1.0,,,,,,,
2025-04-20,Premier League,Manchester City,Liverpool,3.0,4.75,3.74,SofaScore,W3D2L0,W2D0L3,3.0,2.0,0.0,2.0,0.0,3.0,,,,,,,
2025-04-20,Premier League,Chelsea,Arsenal,3.84,3.32,2.38,SofaScore,W2D1L3,W1D1L3,2.0,1.0,3.0,1.0,1.0,3.0,,,,,,,
