home_team_id,away_team_id,league_id,day_of_week,month,home_odds,draw_odds,away_odds,odds_ratio,home_team,away_team,league,implied_prob_home,implied_prob_away,overround,implied_prob_draw,volatility,market_sentiment,historical_roi
30,28,6,5,4,3.25,3.14,3.11,1.045016077170418,Manchester City,Liverpool,Premier League,0.3076923076923077,0.3215434083601286,0.9477070536320542,0.3184713375796178,0.15907898403279794,-0.23385937434364767,-0.052948712104342266
12,3,6,5,4,2.67,3.38,3.71,0.7196765498652291,Chelsea,Arsenal,Premier League,0.37453183520599254,0.2695417789757412,0.9399316023474142,0.2958579881656805,0.1345699017994175,-0.749851392266667,-0.19935975817402923
43,6,3,5,4,3.78,4.09,3.54,1.0677966101694916,Real Madrid,Barcelona,La Liga,0.2645502645502646,0.2824858757062147,0.7915349177625918,0.24449877750611249,0.30021596128297645,-0.7606750208361175,-0.13518492025705292
5,48,3,5,4,2.66,2.99,3.52,0.7556818181818182,Atletico Madrid,Sevilla,La Liga,0.37593984962406013,0.2840909090909091,0.9944789192500862,0.33444816053511706,0.10207557146457949,-0.2872062057776581,-0.02349516939123858
20,34,9,5,4,2.89,2.91,2.09,1.382775119617225,Inter,Milan,Serie A,0.3460207612456747,0.47846889952153115,1.1681322724510546,0.3436426116838488,0.28869625423216094,-0.4866956768724684,0.04779390300360184
22,37,9,5,4,3.96,4.1,3.79,1.0448548812664908,Juventus,Napoli,Serie A,0.25252525252525254,0.2638522427440633,0.7602799342937061,0.24390243902439027,0.4423371957688602,0.986545052123035,0.10735253445293697
7,13,0,5,4,3.66,2.91,1.53,2.392156862745098,Bayern Munich,Dortmund,Bundesliga,0.27322404371584696,0.6535947712418301,1.2704614266415257,0.3436426116838488,0.20944796654403153,0.012097222722677659,-0.14881379095796685
25,26,0,5,4,3.82,2.14,3.95,0.9670886075949366,Leipzig,Leverkusen,Bundesliga,0.2617801047120419,0.2531645569620253,0.9822343813002354,0.4672897196261682,0.11385059036312901,-0.2996437669385381,0.33747994804981046
39,32,4,5,4,2.82,3.63,1.54,1.831168831168831,PSG,Marseille,Ligue 1,0.3546099290780142,0.6493506493506493,1.2794426720925753,0.27548209366391185,0.2530751435872194,-0.4367762520665821,0.10059767238554279
29,35,4,5,4,3.72,4.75,2.85,1.305263157894737,Lyon,Monaco,Ligue 1,0.26881720430107525,0.3508771929824561,0.830220713073005,0.21052631578947367,0.21416857265928124,0.6971737399373734,-0.1698545376891573
30,28,6,6,4,3.0,4.75,3.74,0.8021390374331551,Manchester City,Liverpool,Premier League,0.3333333333333333,0.267379679144385,0.8112393282671919,0.21052631578947367,0.4830263953287197,0.8110599331919162,0.3945488002510736
12,3,6,6,4,3.84,3.32,2.38,1.6134453781512603,Chelsea,Arsenal,Premier League,0.2604166666666667,0.42016806722689076,0.981789553170666,0.30120481927710846,0.16625673512530517,-0.2376172346382639,-0.10715350083635444
