home_team_id,away_team_id,league_id,day_of_week,month,home_odds,draw_odds,away_odds,odds_ratio,home_team,away_team,league,implied_prob_home,implied_prob_away,overround,implied_prob_draw,volatility,market_sentiment,historical_roi
7,4,3,5,4,2.74,2.81,1.83,1.4972677595628416,Manchester City,Liverpool,Premier League,0.36496350364963503,0.5464480874316939,1.2672834772023254,0.35587188612099646,0.4999153276733561,-0.4334011322764262,0.10266508883480047
2,0,3,5,4,2.26,2.85,2.3,0.982608695652174,Chelsea,Arsenal,Premier League,0.4424778761061947,0.4347826086956522,1.2281376777843032,0.3508771929824561,0.3475110898162044,0.9619092722032618,-0.022686675501034148
9,1,1,5,4,3.72,4.72,1.59,2.339622641509434,Real Madrid,Barcelona,La Liga,0.26881720430107525,0.6289308176100629,1.1096124286907991,0.21186440677966104,0.4286330756256891,-0.906373683462586,0.04181944029769408
0,9,1,5,4,2.98,2.9,3.06,0.9738562091503268,Atletico Madrid,Sevilla,La Liga,0.33557046979865773,0.32679738562091504,1.0071954416264695,0.3448275862068966,0.19376793891368924,0.984813027088782,-0.04068867508460283
3,6,4,5,4,2.88,4.59,2.14,1.3457943925233644,Inter,Milan,Serie A,0.3472222222222222,0.4672897196261682,1.032376865595667,0.2178649237472767,0.4166909298551026,0.9669699855469787,0.3267574211274004
4,8,4,5,4,3.88,2.72,3.6,1.0777777777777775,Juventus,Napoli,Serie A,0.2577319587628866,0.2777777777777778,0.9031567953641939,0.3676470588235294,0.47487313730048286,-0.49284904507157257,0.16609774156683715
1,2,0,5,4,1.57,2.01,2.24,0.7008928571428571,Bayern Munich,Dortmund,Bundesliga,0.6369426751592356,0.4464285714285714,1.5808836843987524,0.49751243781094534,0.35484651397465816,-0.1916887366167126,0.14765078290359646
5,3,0,5,4,1.97,2.53,1.53,1.287581699346405,Leipzig,Leverkusen,Bundesliga,0.5076142131979695,0.6535947712418301,1.556465901435847,0.3952569169960475,0.20984014199099985,0.5572288732926403,0.1384210407793609
8,5,2,5,4,3.91,3.46,2.14,1.8271028037383177,PSG,Marseille,Ligue 1,0.2557544757033248,0.4672897196261682,1.0120615363699554,0.28901734104046245,0.1526940255291391,-0.7385239822881651,-0.13532778774513066
6,7,2,5,4,1.78,4.2,1.52,1.1710526315789471,Lyon,Monaco,Ligue 1,0.5617977528089888,0.6578947368421053,1.4577877277463323,0.23809523809523808,0.41555175248178466,-0.05169275657511441,-0.13735932181152047
