date,home_team,away_team,league,source,home_odds,draw_odds,away_odds,data_timestamp
2025-04-19,Manchester City,Liverpool,Premier League,sofascore,3.36,4.49,3.5,2025-04-19T14:32:13.562698
2025-04-19,Chelsea,Arsenal,Premier League,sofascore,3.77,3.48,2.96,2025-04-19T14:32:13.562712
2025-04-19,Real Madrid,Barcelona,La Liga,sofascore,2.07,2.25,2.73,2025-04-19T14:32:13.562716
2025-04-19,Atletico Madrid,Sevilla,La Liga,sofascore,2.55,3.84,3.89,2025-04-19T14:32:13.562719
2025-04-19,Inter,Milan,Serie A,sofascore,3.55,2.76,3.34,2025-04-19T14:32:13.562722
2025-04-19,Juventus,Napoli,Serie A,sofascore,2.32,3.64,2.49,2025-04-19T14:32:13.562724
2025-04-19,Bayern Munich,Dortmund,Bundesliga,sofascore,1.93,4.68,3.59,2025-04-19T14:32:13.562727
2025-04-19,Leipzig,Leverkusen,Bundesliga,sofascore,3.42,4.89,3.67,2025-04-19T14:32:13.562729
2025-04-19,PSG,Marseille,Ligue 1,sofascore,2.22,2.68,3.91,2025-04-19T14:32:13.562732
2025-04-19,Lyon,Monaco,Ligue 1,sofascore,3.66,4.47,3.97,2025-04-19T14:32:13.562749
2025-04-20,Manchester City,Liverpool,Premier League,sofascore,3.05,2.18,2.36,2025-04-19T14:32:13.562751
2025-04-20,Chelsea,Arsenal,Premier League,sofascore,3.73,3.71,2.83,2025-04-19T14:32:13.562754
2025-04-20,Real Madrid,Barcelona,La Liga,sofascore,2.32,4.82,3.35,2025-04-19T14:32:13.562772
2025-04-20,Atletico Madrid,Sevilla,La Liga,sofascore,3.47,4.77,2.94,2025-04-19T14:32:13.562774
2025-04-20,Inter,Milan,Serie A,sofascore,1.53,2.68,1.76,2025-04-19T14:32:13.562777
2025-04-20,Juventus,Napoli,Serie A,sofascore,3.7,4.47,3.42,2025-04-19T14:32:13.562779
2025-04-20,Bayern Munich,Dortmund,Bundesliga,sofascore,3.54,4.27,2.15,2025-04-19T14:32:13.562782
2025-04-20,Leipzig,Leverkusen,Bundesliga,sofascore,3.25,4.23,1.91,2025-04-19T14:32:13.562784
2025-04-20,PSG,Marseille,Ligue 1,sofascore,2.53,3.29,3.85,2025-04-19T14:32:13.562787
2025-04-20,Lyon,Monaco,Ligue 1,sofascore,2.56,4.5,2.08,2025-04-19T14:32:13.562790
2025-04-21,Manchester City,Liverpool,Premier League,sofascore,3.45,3.4,2.39,2025-04-19T14:32:13.562792
2025-04-21,Chelsea,Arsenal,Premier League,sofascore,3.45,2.66,2.87,2025-04-19T14:32:13.562795
2025-04-21,Real Madrid,Barcelona,La Liga,sofascore,2.24,3.47,1.96,2025-04-19T14:32:13.562797
2025-04-21,Atletico Madrid,Sevilla,La Liga,sofascore,1.98,3.73,3.99,2025-04-19T14:32:13.562800
2025-04-21,Inter,Milan,Serie A,sofascore,2.68,2.25,3.38,2025-04-19T14:32:13.562802
2025-04-21,Juventus,Napoli,Serie A,sofascore,2.07,2.36,1.53,2025-04-19T14:32:13.562805
2025-04-21,Bayern Munich,Dortmund,Bundesliga,sofascore,3.86,4.03,1.62,2025-04-19T14:32:13.562807
2025-04-21,Leipzig,Leverkusen,Bundesliga,sofascore,3.58,4.28,3.6,2025-04-19T14:32:13.562810
2025-04-21,PSG,Marseille,Ligue 1,sofascore,3.57,2.49,1.96,2025-04-19T14:32:13.562813
2025-04-21,Lyon,Monaco,Ligue 1,sofascore,3.08,2.08,2.49,2025-04-19T14:32:13.562815
2025-04-22,Manchester City,Liverpool,Premier League,sofascore,1.66,4.31,3.46,2025-04-19T14:32:13.562817
2025-04-22,Chelsea,Arsenal,Premier League,sofascore,1.62,3.39,2.53,2025-04-19T14:32:13.562820
2025-04-22,Real Madrid,Barcelona,La Liga,sofascore,2.54,3.86,3.63,2025-04-19T14:32:13.562824
2025-04-22,Atletico Madrid,Sevilla,La Liga,sofascore,1.6,2.04,1.79,2025-04-19T14:32:13.562827
