date,league,home_team,away_team,home_odds,draw_odds,away_odds,source,home_form,away_form,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,home_possession,away_possession,home_shots,away_shots,over_under_2.5,btts_yes,btts_no
2025-04-20,Premier League,Manchester City,Liverpool,3.4,2.8,1.85,SofaScore,W4D1L1,W1D2L1,4.0,1.0,1.0,1.0,2.0,1.0,,,,,,,
2025-04-20,Premier League,Chelsea,Arsenal,2.23,4.01,2.86,SofaScore,W2D0L0,W5D1L1,2.0,0.0,0.0,5.0,1.0,1.0,,,,,,,
2025-04-20,La Liga,Real Madrid,Barcelona,2.61,3.92,3.78,SofaScore,W4D0L2,W2D0L1,4.0,0.0,2.0,2.0,0.0,1.0,,,,,,,
2025-04-20,La Liga,Atletico Madrid,Sevilla,1.99,2.66,3.74,SofaScore,W1D2L1,W5D1L2,1.0,2.0,1.0,5.0,1.0,2.0,,,,,,,
2025-04-20,Serie A,Inter,Milan,3.18,2.83,3.74,SofaScore,W2D2L0,W4D1L3,2.0,2.0,0.0,4.0,1.0,3.0,,,,,,,
2025-04-20,Serie A,Juventus,Napoli,3.54,3.31,1.62,SofaScore,W5D2L3,W3D0L2,5.0,2.0,3.0,3.0,0.0,2.0,,,,,,,
2025-04-20,Bundesliga,Bayern Munich,Dortmund,3.13,4.07,1.96,SofaScore,W1D1L0,W4D2L1,1.0,1.0,0.0,4.0,2.0,1.0,,,,,,,
2025-04-20,Bundesliga,Leipzig,Leverkusen,3.91,3.83,3.25,SofaScore,W5D1L2,W4D1L0,5.0,1.0,2.0,4.0,1.0,0.0,,,,,,,
2025-04-20,Ligue 1,PSG,Marseille,3.32,4.79,2.56,SofaScore,W4D0L1,W5D1L3,4.0,0.0,1.0,5.0,1.0,3.0,,,,,,,
2025-04-20,Ligue 1,Lyon,Monaco,3.84,3.86,3.21,SofaScore,W4D0L0,W5D1L1,4.0,0.0,0.0,5.0,1.0,1.0,,,,,,,
2025-04-21,Premier League,Manchester City,Liverpool,1.52,3.65,2.02,SofaScore,W3D0L0,W1D2L3,3.0,0.0,0.0,1.0,2.0,3.0,,,,,,,
2025-04-21,Premier League,Chelsea,Arsenal,2.36,2.27,2.34,SofaScore,W5D2L0,W4D0L2,5.0,2.0,0.0,4.0,0.0,2.0,,,,,,,
2025-04-21,La Liga,Real Madrid,Barcelona,3.59,2.0,3.29,SofaScore,W4D2L2,W4D2L2,4.0,2.0,2.0,4.0,2.0,2.0,,,,,,,
2025-04-21,La Liga,Atletico Madrid,Sevilla,3.41,4.49,3.38,SofaScore,W5D1L2,W4D0L2,5.0,1.0,2.0,4.0,0.0,2.0,,,,,,,
2025-04-21,Serie A,Inter,Milan,3.9,4.8,3.52,SofaScore,W2D0L2,W5D1L1,2.0,0.0,2.0,5.0,1.0,1.0,,,,,,,
2025-04-21,Serie A,Juventus,Napoli,3.48,3.61,1.58,SofaScore,W2D1L2,W2D0L3,2.0,1.0,2.0,2.0,0.0,3.0,,,,,,,
2025-04-21,Bundesliga,Bayern Munich,Dortmund,1.56,2.93,3.55,SofaScore,W1D0L3,W1D0L3,1.0,0.0,3.0,1.0,0.0,3.0,,,,,,,
2025-04-21,Bundesliga,Leipzig,Leverkusen,1.56,3.42,3.77,SofaScore,W5D1L1,W2D0L2,5.0,1.0,1.0,2.0,0.0,2.0,,,,,,,
2025-04-21,Ligue 1,PSG,Marseille,3.41,3.25,1.93,SofaScore,W1D1L0,W3D2L1,1.0,1.0,0.0,3.0,2.0,1.0,,,,,,,
2025-04-21,Ligue 1,Lyon,Monaco,3.83,3.52,3.21,SofaScore,W3D1L1,W5D2L0,3.0,1.0,1.0,5.0,2.0,0.0,,,,,,,
2025-04-22,Premier League,Manchester City,Liverpool,2.03,3.32,3.41,SofaScore,W4D0L3,W4D2L2,4.0,0.0,3.0,4.0,2.0,2.0,,,,,,,
2025-04-22,Premier League,Chelsea,Arsenal,3.36,2.93,3.14,SofaScore,W5D2L1,W1D2L0,5.0,2.0,1.0,1.0,2.0,0.0,,,,,,,
2025-04-22,La Liga,Real Madrid,Barcelona,1.58,4.86,2.19,SofaScore,W4D1L2,W4D2L1,4.0,1.0,2.0,4.0,2.0,1.0,,,,,,,
2025-04-22,La Liga,Atletico Madrid,Sevilla,2.72,3.58,3.32,SofaScore,W5D2L2,W3D1L2,5.0,2.0,2.0,3.0,1.0,2.0,,,,,,,
2025-04-22,Serie A,Inter,Milan,1.88,4.22,3.25,SofaScore,W1D1L0,W2D1L0,1.0,1.0,0.0,2.0,1.0,0.0,,,,,,,
2025-04-22,Serie A,Juventus,Napoli,3.51,3.55,2.17,SofaScore,W4D0L2,W5D0L1,4.0,0.0,2.0,5.0,0.0,1.0,,,,,,,
2025-04-22,Bundesliga,Bayern Munich,Dortmund,1.93,3.58,2.95,SofaScore,W1D1L2,W3D0L3,1.0,1.0,2.0,3.0,0.0,3.0,,,,,,,
2025-04-22,Bundesliga,Leipzig,Leverkusen,1.55,3.21,1.56,SofaScore,W4D0L2,W5D2L3,4.0,0.0,2.0,5.0,2.0,3.0,,,,,,,
2025-04-22,Ligue 1,PSG,Marseille,2.43,2.7,3.89,SofaScore,W4D0L1,W4D1L2,4.0,0.0,1.0,4.0,1.0,2.0,,,,,,,
2025-04-22,Ligue 1,Lyon,Monaco,3.38,3.71,2.16,SofaScore,W5D2L1,W4D0L1,5.0,2.0,1.0,4.0,0.0,1.0,,,,,,,
2025-04-23,Premier League,Manchester City,Liverpool,3.31,3.14,3.75,SofaScore,W5D2L2,W4D1L3,5.0,2.0,2.0,4.0,1.0,3.0,,,,,,,
2025-04-23,Premier League,Chelsea,Arsenal,1.71,4.34,2.7,SofaScore,W3D0L3,W5D2L2,3.0,0.0,3.0,5.0,2.0,2.0,,,,,,,
2025-04-23,La Liga,Real Madrid,Barcelona,3.8,2.94,2.77,SofaScore,W3D1L0,W4D2L3,3.0,1.0,0.0,4.0,2.0,3.0,,,,,,,
2025-04-23,La Liga,Atletico Madrid,Sevilla,2.18,3.34,1.74,SofaScore,W4D1L3,W5D2L3,4.0,1.0,3.0,5.0,2.0,3.0,,,,,,,
2025-04-23,Serie A,Inter,Milan,2.04,3.95,2.4,SofaScore,W1D2L0,W4D1L0,1.0,2.0,0.0,4.0,1.0,0.0,,,,,,,
2025-04-23,Serie A,Juventus,Napoli,2.4,4.66,2.26,SofaScore,W4D2L2,W3D1L1,4.0,2.0,2.0,3.0,1.0,1.0,,,,,,,
2025-04-23,Bundesliga,Bayern Munich,Dortmund,3.31,4.71,2.62,SofaScore,W5D1L2,W4D0L3,5.0,1.0,2.0,4.0,0.0,3.0,,,,,,,
2025-04-23,Bundesliga,Leipzig,Leverkusen,3.66,3.67,2.35,SofaScore,W5D2L2,W4D0L2,5.0,2.0,2.0,4.0,0.0,2.0,,,,,,,
2025-04-23,Ligue 1,PSG,Marseille,2.32,2.48,1.77,SofaScore,W3D2L0,W1D1L0,3.0,2.0,0.0,1.0,1.0,0.0,,,,,,,
2025-04-23,Ligue 1,Lyon,Monaco,2.79,2.19,3.05,SofaScore,W1D2L1,W3D2L2,1.0,2.0,1.0,3.0,2.0,2.0,,,,,,,
2025-04-24,Premier League,Manchester City,Liverpool,3.97,2.25,2.61,SofaScore,W2D2L1,W4D0L3,2.0,2.0,1.0,4.0,0.0,3.0,,,,,,,
2025-04-24,Premier League,Chelsea,Arsenal,2.94,4.93,1.67,SofaScore,W3D1L2,W5D1L3,3.0,1.0,2.0,5.0,1.0,3.0,,,,,,,
2025-04-24,La Liga,Real Madrid,Barcelona,3.52,4.1,2.4,SofaScore,W1D2L0,W2D0L1,1.0,2.0,0.0,2.0,0.0,1.0,,,,,,,
2025-04-24,La Liga,Atletico Madrid,Sevilla,3.65,3.63,3.57,SofaScore,W4D1L1,W1D0L0,4.0,1.0,1.0,1.0,0.0,0.0,,,,,,,
2025-04-24,Serie A,Inter,Milan,1.54,2.38,2.18,SofaScore,W3D0L1,W4D0L0,3.0,0.0,1.0,4.0,0.0,0.0,,,,,,,
2025-04-24,Serie A,Juventus,Napoli,3.35,3.26,3.14,SofaScore,W4D0L1,W2D1L1,4.0,0.0,1.0,2.0,1.0,1.0,,,,,,,
2025-04-24,Bundesliga,Bayern Munich,Dortmund,2.67,3.34,1.93,SofaScore,W2D1L3,W5D1L0,2.0,1.0,3.0,5.0,1.0,0.0,,,,,,,
2025-04-24,Bundesliga,Leipzig,Leverkusen,1.57,2.73,3.87,SofaScore,W4D1L1,W1D1L0,4.0,1.0,1.0,1.0,1.0,0.0,,,,,,,
2025-04-24,Ligue 1,PSG,Marseille,2.03,3.61,3.86,SofaScore,W1D0L3,W1D2L1,1.0,0.0,3.0,1.0,2.0,1.0,,,,,,,
2025-04-24,Ligue 1,Lyon,Monaco,1.55,4.94,1.83,SofaScore,W1D2L0,W2D0L1,1.0,2.0,0.0,2.0,0.0,1.0,,,,,,,
2025-04-25,Premier League,Manchester City,Liverpool,1.77,4.27,1.65,SofaScore,W1D0L0,W2D1L1,1.0,0.0,0.0,2.0,1.0,1.0,,,,,,,
2025-04-25,Premier League,Chelsea,Arsenal,1.93,2.82,3.85,SofaScore,W2D2L0,W4D0L3,2.0,2.0,0.0,4.0,0.0,3.0,,,,,,,
2025-04-25,La Liga,Real Madrid,Barcelona,1.7,2.91,2.57,SofaScore,W5D1L2,W3D0L2,5.0,1.0,2.0,3.0,0.0,2.0,,,,,,,
