date,league,home_team,away_team,home_odds,draw_odds,away_odds,source,home_form,away_form,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,home_possession,away_possession,home_shots,away_shots,over_under_2.5,btts_yes,btts_no
2025-04-19,Premier League,Manchester City,Liverpool,1.82,2.81,3.96,SofaScore,W5D0L1,W2D1L2,5.0,0.0,1.0,2.0,1.0,2.0,,,,,,,
2025-04-19,Premier League,Chelsea,Arsenal,3.04,2.43,3.45,SofaScore,W4D1L2,W3D0L1,4.0,1.0,2.0,3.0,0.0,1.0,,,,,,,
2025-04-19,La Liga,Real Madrid,Barcelona,1.8,2.25,3.24,SofaScore,W1D2L0,W2D2L2,1.0,2.0,0.0,2.0,2.0,2.0,,,,,,,
2025-04-19,La Liga,Atletico Madrid,Sevilla,2.04,3.84,1.8,SofaScore,W5D1L2,W5D0L0,5.0,1.0,2.0,5.0,0.0,0.0,,,,,,,
2025-04-19,Serie A,Inter,Milan,2.11,3.56,1.7,SofaScore,W2D0L3,W3D2L0,2.0,0.0,3.0,3.0,2.0,0.0,,,,,,,
2025-04-19,Serie A,Juventus,Napoli,2.98,3.97,1.71,SofaScore,W5D0L1,W2D1L0,5.0,0.0,1.0,2.0,1.0,0.0,,,,,,,
2025-04-19,Bundesliga,Bayern Munich,Dortmund,3.63,2.07,2.41,SofaScore,W1D2L1,W1D1L2,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,
2025-04-19,Bundesliga,Leipzig,Leverkusen,3.65,2.6,1.51,SofaScore,W1D0L1,W5D2L0,1.0,0.0,1.0,5.0,2.0,0.0,,,,,,,
2025-04-19,Ligue 1,PSG,Marseille,1.67,2.56,3.29,SofaScore,W5D2L1,W5D2L2,5.0,2.0,1.0,5.0,2.0,2.0,,,,,,,
2025-04-19,Ligue 1,Lyon,Monaco,3.14,3.55,3.55,SofaScore,W2D1L3,W4D0L0,2.0,1.0,3.0,4.0,0.0,0.0,,,,,,,
2025-04-20,Premier League,Manchester City,Liverpool,2.71,2.24,2.03,SofaScore,W2D2L2,W4D1L1,2.0,2.0,2.0,4.0,1.0,1.0,,,,,,,
2025-04-20,Premier League,Chelsea,Arsenal,2.09,3.94,2.93,SofaScore,W3D2L2,W4D0L1,3.0,2.0,2.0,4.0,0.0,1.0,,,,,,,
2025-04-20,La Liga,Real Madrid,Barcelona,1.9,4.54,2.81,SofaScore,W1D2L3,W5D1L3,1.0,2.0,3.0,5.0,1.0,3.0,,,,,,,
2025-04-20,La Liga,Atletico Madrid,Sevilla,2.41,2.89,2.48,SofaScore,W5D1L1,W2D0L0,5.0,1.0,1.0,2.0,0.0,0.0,,,,,,,
2025-04-20,Serie A,Inter,Milan,2.18,3.8,2.55,SofaScore,W3D1L0,W4D0L3,3.0,1.0,0.0,4.0,0.0,3.0,,,,,,,
2025-04-20,Serie A,Juventus,Napoli,1.69,2.58,1.54,SofaScore,W2D2L3,W1D1L3,2.0,2.0,3.0,1.0,1.0,3.0,,,,,,,
2025-04-20,Bundesliga,Bayern Munich,Dortmund,1.74,2.2,3.21,SofaScore,W3D0L0,W2D1L3,3.0,0.0,0.0,2.0,1.0,3.0,,,,,,,
2025-04-20,Bundesliga,Leipzig,Leverkusen,2.19,3.23,2.35,SofaScore,W5D0L3,W5D1L3,5.0,0.0,3.0,5.0,1.0,3.0,,,,,,,
2025-04-20,Ligue 1,PSG,Marseille,3.14,4.73,3.65,SofaScore,W5D0L3,W1D0L3,5.0,0.0,3.0,1.0,0.0,3.0,,,,,,,
2025-04-20,Ligue 1,Lyon,Monaco,3.42,4.67,2.84,SofaScore,W1D2L3,W5D2L2,1.0,2.0,3.0,5.0,2.0,2.0,,,,,,,
2025-04-21,Premier League,Manchester City,Liverpool,1.54,4.32,1.81,SofaScore,W5D1L1,W1D0L0,5.0,1.0,1.0,1.0,0.0,0.0,,,,,,,
2025-04-21,Premier League,Chelsea,Arsenal,2.3,2.43,3.02,SofaScore,W1D0L1,W1D2L1,1.0,0.0,1.0,1.0,2.0,1.0,,,,,,,
2025-04-21,La Liga,Real Madrid,Barcelona,2.19,2.35,1.85,SofaScore,W1D1L0,W4D2L0,1.0,1.0,0.0,4.0,2.0,0.0,,,,,,,
2025-04-21,La Liga,Atletico Madrid,Sevilla,2.3,4.27,2.78,SofaScore,W5D0L0,W2D2L3,5.0,0.0,0.0,2.0,2.0,3.0,,,,,,,
2025-04-21,Serie A,Inter,Milan,1.76,4.35,2.8,SofaScore,W4D0L0,W4D1L2,4.0,0.0,0.0,4.0,1.0,2.0,,,,,,,
2025-04-21,Serie A,Juventus,Napoli,2.21,2.31,3.78,SofaScore,W2D2L0,W3D0L3,2.0,2.0,0.0,3.0,0.0,3.0,,,,,,,
2025-04-21,Bundesliga,Bayern Munich,Dortmund,3.96,2.16,2.75,SofaScore,W3D2L3,W1D0L3,3.0,2.0,3.0,1.0,0.0,3.0,,,,,,,
2025-04-21,Bundesliga,Leipzig,Leverkusen,3.16,2.21,3.78,SofaScore,W3D2L1,W1D0L3,3.0,2.0,1.0,1.0,0.0,3.0,,,,,,,
2025-04-21,Ligue 1,PSG,Marseille,3.71,4.08,2.54,SofaScore,W1D0L1,W2D0L0,1.0,0.0,1.0,2.0,0.0,0.0,,,,,,,
2025-04-21,Ligue 1,Lyon,Monaco,3.57,3.85,1.72,SofaScore,W1D0L3,W5D0L2,1.0,0.0,3.0,5.0,0.0,2.0,,,,,,,
2025-04-22,Premier League,Manchester City,Liverpool,3.93,4.09,3.1,SofaScore,W5D0L3,W5D1L3,5.0,0.0,3.0,5.0,1.0,3.0,,,,,,,
2025-04-22,Premier League,Chelsea,Arsenal,2.92,4.11,2.68,SofaScore,W2D0L0,W1D0L1,2.0,0.0,0.0,1.0,0.0,1.0,,,,,,,
2025-04-22,La Liga,Real Madrid,Barcelona,1.71,4.61,2.89,SofaScore,W1D2L1,W2D2L1,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,,
2025-04-22,La Liga,Atletico Madrid,Sevilla,2.54,3.44,1.89,SofaScore,W4D0L2,W2D0L2,4.0,0.0,2.0,2.0,0.0,2.0,,,,,,,
2025-04-22,Serie A,Inter,Milan,3.51,2.45,2.62,SofaScore,W3D1L1,W1D2L2,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,
2025-04-22,Serie A,Juventus,Napoli,3.68,2.5,3.69,SofaScore,W1D0L3,W4D1L2,1.0,0.0,3.0,4.0,1.0,2.0,,,,,,,
2025-04-22,Bundesliga,Bayern Munich,Dortmund,3.69,4.85,3.59,SofaScore,W2D2L1,W1D2L0,2.0,2.0,1.0,1.0,2.0,0.0,,,,,,,
2025-04-22,Bundesliga,Leipzig,Leverkusen,1.86,3.16,1.72,SofaScore,W2D2L1,W3D2L1,2.0,2.0,1.0,3.0,2.0,1.0,,,,,,,
2025-04-22,Ligue 1,PSG,Marseille,3.63,2.85,2.8,SofaScore,W4D0L1,W4D0L1,4.0,0.0,1.0,4.0,0.0,1.0,,,,,,,
2025-04-22,Ligue 1,Lyon,Monaco,3.58,2.16,2.71,SofaScore,W5D2L3,W1D1L2,5.0,2.0,3.0,1.0,1.0,2.0,,,,,,,
2025-04-23,Premier League,Manchester City,Liverpool,3.6,3.04,3.2,SofaScore,W4D2L2,W5D2L0,4.0,2.0,2.0,5.0,2.0,0.0,,,,,,,
2025-04-23,Premier League,Chelsea,Arsenal,3.7,3.7,3.69,SofaScore,W4D0L0,W5D0L1,4.0,0.0,0.0,5.0,0.0,1.0,,,,,,,
2025-04-23,La Liga,Real Madrid,Barcelona,2.07,4.22,3.79,SofaScore,W4D2L2,W4D2L0,4.0,2.0,2.0,4.0,2.0,0.0,,,,,,,
2025-04-23,La Liga,Atletico Madrid,Sevilla,3.41,4.96,2.91,SofaScore,W4D0L3,W5D1L0,4.0,0.0,3.0,5.0,1.0,0.0,,,,,,,
2025-04-23,Serie A,Inter,Milan,3.85,3.35,2.37,SofaScore,W3D0L1,W5D0L0,3.0,0.0,1.0,5.0,0.0,0.0,,,,,,,
2025-04-23,Serie A,Juventus,Napoli,2.27,2.23,3.84,SofaScore,W3D1L0,W4D1L2,3.0,1.0,0.0,4.0,1.0,2.0,,,,,,,
2025-04-23,Bundesliga,Bayern Munich,Dortmund,2.41,3.28,3.76,SofaScore,W1D1L1,W4D1L1,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,
2025-04-23,Bundesliga,Leipzig,Leverkusen,1.81,4.38,3.89,SofaScore,W4D0L2,W3D2L2,4.0,0.0,2.0,3.0,2.0,2.0,,,,,,,
2025-04-23,Ligue 1,PSG,Marseille,3.95,2.96,1.98,SofaScore,W1D1L2,W3D1L2,1.0,1.0,2.0,3.0,1.0,2.0,,,,,,,
2025-04-23,Ligue 1,Lyon,Monaco,2.19,4.16,3.14,SofaScore,W3D2L0,W5D0L2,3.0,2.0,0.0,5.0,0.0,2.0,,,,,,,
2025-04-24,Premier League,Manchester City,Liverpool,3.6,2.94,2.77,SofaScore,W3D1L0,W1D1L1,3.0,1.0,0.0,1.0,1.0,1.0,,,,,,,
2025-04-24,Premier League,Chelsea,Arsenal,3.53,4.38,2.61,SofaScore,W2D0L1,W5D2L3,2.0,0.0,1.0,5.0,2.0,3.0,,,,,,,
2025-04-24,La Liga,Real Madrid,Barcelona,3.79,4.28,2.83,SofaScore,W5D2L3,W5D0L0,5.0,2.0,3.0,5.0,0.0,0.0,,,,,,,
2025-04-24,La Liga,Atletico Madrid,Sevilla,2.76,4.91,2.72,SofaScore,W5D1L2,W1D2L3,5.0,1.0,2.0,1.0,2.0,3.0,,,,,,,
2025-04-24,Serie A,Inter,Milan,2.47,3.39,2.69,SofaScore,W2D1L1,W4D1L1,2.0,1.0,1.0,4.0,1.0,1.0,,,,,,,
2025-04-24,Serie A,Juventus,Napoli,3.2,4.04,2.37,SofaScore,W4D1L1,W1D2L3,4.0,1.0,1.0,1.0,2.0,3.0,,,,,,,
2025-04-24,Bundesliga,Bayern Munich,Dortmund,1.84,2.94,2.97,SofaScore,W3D1L2,W3D2L3,3.0,1.0,2.0,3.0,2.0,3.0,,,,,,,
2025-04-24,Bundesliga,Leipzig,Leverkusen,2.93,4.49,2.89,SofaScore,W1D0L1,W2D0L1,1.0,0.0,1.0,2.0,0.0,1.0,,,,,,,
2025-04-24,Ligue 1,PSG,Marseille,3.47,4.48,1.93,SofaScore,W5D0L0,W3D1L3,5.0,0.0,0.0,3.0,1.0,3.0,,,,,,,
