asian_handicap,away_form,away_odds,away_possession,away_shots,away_team,btts_no,btts_yes,date,draw_odds,home_form,home_odds,home_possession,home_shots,home_team,league,over_under_2.5,source,time
,W2D1L2,3.96,,,Liverpool,,,2025-04-19,2.81,W5D0L1,1.82,,,Manchester City,Premier League,,SofaScore,19:00
,W3D0L1,3.45,,,Arsenal,,,2025-04-19,2.43,W4D1L2,3.04,,,Chelsea,Premier League,,SofaScore,13:00
,W2D2L2,3.24,,,Barcelona,,,2025-04-19,2.25,W1D2L0,1.8,,,Real Madrid,La Liga,,SofaScore,19:00
,W5D0L0,1.8,,,Sevilla,,,2025-04-19,3.84,W5D1L2,2.04,,,Atletico Madrid,La Liga,,SofaScore,21:00
,W3D2L0,1.7,,,Milan,,,2025-04-19,3.56,W2D0L3,2.11,,,Inter,Serie A,,SofaScore,12:00
,W2D1L0,1.71,,,Napoli,,,2025-04-19,3.97,W5D0L1,2.98,,,Juventus,Serie A,,SofaScore,12:00
,W1D1L2,2.41,,,Dortmund,,,2025-04-19,2.07,W1D2L1,3.63,,,Bayern Munich,Bundesliga,,SofaScore,20:00
,W5D2L0,1.51,,,Leverkusen,,,2025-04-19,2.6,W1D0L1,3.65,,,Leipzig,Bundesliga,,SofaScore,18:00
,W5D2L2,3.29,,,Marseille,,,2025-04-19,2.56,W5D2L1,1.67,,,PSG,Ligue 1,,SofaScore,20:00
,W4D0L0,3.55,,,Monaco,,,2025-04-19,3.55,W2D1L3,3.14,,,Lyon,Ligue 1,,SofaScore,19:00
,W4D1L1,2.03,,,Liverpool,,,2025-04-20,2.24,W2D2L2,2.71,,,Manchester City,Premier League,,SofaScore,12:00
,W4D0L1,2.93,,,Arsenal,,,2025-04-20,3.94,W3D2L2,2.09,,,Chelsea,Premier League,,SofaScore,13:00
,W5D1L3,2.81,,,Barcelona,,,2025-04-20,4.54,W1D2L3,1.9,,,Real Madrid,La Liga,,SofaScore,13:00
,W2D0L0,2.48,,,Sevilla,,,2025-04-20,2.89,W5D1L1,2.41,,,Atletico Madrid,La Liga,,SofaScore,13:00
,W4D0L3,2.55,,,Milan,,,2025-04-20,3.8,W3D1L0,2.18,,,Inter,Serie A,,SofaScore,12:00
,W1D1L3,1.54,,,Napoli,,,2025-04-20,2.58,W2D2L3,1.69,,,Juventus,Serie A,,SofaScore,17:00
,W2D1L3,3.21,,,Dortmund,,,2025-04-20,2.2,W3D0L0,1.74,,,Bayern Munich,Bundesliga,,SofaScore,12:00
,W5D1L3,2.35,,,Leverkusen,,,2025-04-20,3.23,W5D0L3,2.19,,,Leipzig,Bundesliga,,SofaScore,17:00
,W1D0L3,3.65,,,Marseille,,,2025-04-20,4.73,W5D0L3,3.14,,,PSG,Ligue 1,,SofaScore,21:00
,W5D2L2,2.84,,,Monaco,,,2025-04-20,4.67,W1D2L3,3.42,,,Lyon,Ligue 1,,SofaScore,18:00
,W1D0L0,1.81,,,Liverpool,,,2025-04-21,4.32,W5D1L1,1.54,,,Manchester City,Premier League,,SofaScore,14:00
,W1D2L1,3.02,,,Arsenal,,,2025-04-21,2.43,W1D0L1,2.3,,,Chelsea,Premier League,,SofaScore,15:00
,W4D2L0,1.85,,,Barcelona,,,2025-04-21,2.35,W1D1L0,2.19,,,Real Madrid,La Liga,,SofaScore,13:00
,W2D2L3,2.78,,,Sevilla,,,2025-04-21,4.27,W5D0L0,2.3,,,Atletico Madrid,La Liga,,SofaScore,21:00
,W4D1L2,2.8,,,Milan,,,2025-04-21,4.35,W4D0L0,1.76,,,Inter,Serie A,,SofaScore,12:00
,W3D0L3,3.78,,,Napoli,,,2025-04-21,2.31,W2D2L0,2.21,,,Juventus,Serie A,,SofaScore,13:00
,W1D0L3,2.75,,,Dortmund,,,2025-04-21,2.16,W3D2L3,3.96,,,Bayern Munich,Bundesliga,,SofaScore,17:00
,W1D0L3,3.78,,,Leverkusen,,,2025-04-21,2.21,W3D2L1,3.16,,,Leipzig,Bundesliga,,SofaScore,16:00
,W2D0L0,2.54,,,Marseille,,,2025-04-21,4.08,W1D0L1,3.71,,,PSG,Ligue 1,,SofaScore,19:00
,W5D0L2,1.72,,,Monaco,,,2025-04-21,3.85,W1D0L3,3.57,,,Lyon,Ligue 1,,SofaScore,13:00
,W5D1L3,3.1,,,Liverpool,,,2025-04-22,4.09,W5D0L3,3.93,,,Manchester City,Premier League,,SofaScore,19:00
,W1D0L1,2.68,,,Arsenal,,,2025-04-22,4.11,W2D0L0,2.92,,,Chelsea,Premier League,,SofaScore,17:00
,W2D2L1,2.89,,,Barcelona,,,2025-04-22,4.61,W1D2L1,1.71,,,Real Madrid,La Liga,,SofaScore,16:00
,W2D0L2,1.89,,,Sevilla,,,2025-04-22,3.44,W4D0L2,2.54,,,Atletico Madrid,La Liga,,SofaScore,12:00
,W1D2L2,2.62,,,Milan,,,2025-04-22,2.45,W3D1L1,3.51,,,Inter,Serie A,,SofaScore,14:00
,W4D1L2,3.69,,,Napoli,,,2025-04-22,2.5,W1D0L3,3.68,,,Juventus,Serie A,,SofaScore,17:00
,W1D2L0,3.59,,,Dortmund,,,2025-04-22,4.85,W2D2L1,3.69,,,Bayern Munich,Bundesliga,,SofaScore,20:00
,W3D2L1,1.72,,,Leverkusen,,,2025-04-22,3.16,W2D2L1,1.86,,,Leipzig,Bundesliga,,SofaScore,19:00
,W4D0L1,2.8,,,Marseille,,,2025-04-22,2.85,W4D0L1,3.63,,,PSG,Ligue 1,,SofaScore,12:00
,W1D1L2,2.71,,,Monaco,,,2025-04-22,2.16,W5D2L3,3.58,,,Lyon,Ligue 1,,SofaScore,20:00
,W5D2L0,3.2,,,Liverpool,,,2025-04-23,3.04,W4D2L2,3.6,,,Manchester City,Premier League,,SofaScore,14:00
,W5D0L1,3.69,,,Arsenal,,,2025-04-23,3.7,W4D0L0,3.7,,,Chelsea,Premier League,,SofaScore,12:00
