date,time,league,home_team,away_team,home_odds,draw_odds,away_odds,home_form,away_form,source
2025-04-19,14:00,Premier League,Manchester City,Liverpool,2.61,4.75,3.2,W4D2L3,W3D0L1,SofaScore
2025-04-19,15:00,Premier League,Chelsea,Arsenal,1.99,3.31,2.21,W1D2L0,W5D0L2,SofaScore
2025-04-19,18:00,La Liga,Real Madrid,Barcelona,2.61,4.52,2.31,W5D0L0,W2D0L0,SofaScore
2025-04-19,18:00,La Liga,Atletico Madrid,Sevilla,2.57,4.1,1.89,W4D2L3,W2D1L3,SofaScore
2025-04-19,12:00,Serie A,Inter,Milan,2.84,3.29,3.47,W5D2L0,W5D2L2,SofaScore
2025-04-19,15:00,Serie A,Juventus,Napoli,3.6,3.52,1.5,W2D2L3,W2D0L0,SofaScore
2025-04-19,21:00,Bundesliga,Bayern Munich,Dortmund,3.81,2.27,2.13,W1D2L3,W1D0L0,SofaScore
2025-04-19,13:00,Bundesliga,Leipzig,Leverkusen,1.84,2.23,2.49,W2D2L1,W2D0L3,SofaScore
2025-04-19,18:00,Ligue 1,PSG,Marseille,3.87,2.02,2.08,W2D0L1,W4D0L2,SofaScore
2025-04-19,16:00,Ligue 1,Lyon,Monaco,2.48,3.51,1.73,W3D1L0,W5D0L0,SofaScore
2025-04-20,13:00,Premier League,Manchester City,Liverpool,2.27,4.39,3.78,W4D0L1,W3D0L1,SofaScore
2025-04-20,14:00,Premier League,Chelsea,Arsenal,2.07,2.47,3.49,W3D1L2,W1D1L0,SofaScore
2025-04-20,15:00,La Liga,Real Madrid,Barcelona,2.32,4.74,3.12,W5D1L1,W1D0L3,SofaScore
2025-04-20,18:00,La Liga,Atletico Madrid,Sevilla,3.92,2.21,2.18,W5D1L1,W2D1L1,SofaScore
2025-04-20,18:00,Serie A,Inter,Milan,2.78,3.47,1.71,W2D0L1,W3D0L2,SofaScore
2025-04-20,20:00,Serie A,Juventus,Napoli,3.27,2.63,2.87,W3D0L3,W3D1L2,SofaScore
2025-04-20,20:00,Bundesliga,Bayern Munich,Dortmund,3.62,3.19,1.59,W1D2L2,W5D2L3,SofaScore
2025-04-20,13:00,Bundesliga,Leipzig,Leverkusen,2.02,4.46,2.46,W1D0L1,W1D0L2,SofaScore
2025-04-20,18:00,Ligue 1,PSG,Marseille,1.52,2.03,2.8,W2D2L2,W4D1L2,SofaScore
2025-04-20,16:00,Ligue 1,Lyon,Monaco,3.89,2.94,2.08,W2D0L3,W3D0L3,SofaScore
2025-04-21,21:00,Premier League,Manchester City,Liverpool,2.18,2.42,2.5,W4D2L0,W2D1L0,SofaScore
2025-04-21,19:00,Premier League,Chelsea,Arsenal,2.15,4.55,2.37,W2D2L1,W5D1L1,SofaScore
2025-04-21,17:00,La Liga,Real Madrid,Barcelona,2.67,4.43,2.11,W1D0L3,W5D0L2,SofaScore
2025-04-21,17:00,La Liga,Atletico Madrid,Sevilla,2.75,3.19,3.39,W3D2L3,W2D2L0,SofaScore
