date,time,league,home_team,away_team,home_odds,draw_odds,away_odds,home_form,away_form,source
2025-04-19,16:00,Premier League,Manchester City,Liverpool,1.69,4.97,1.77,W1D1L3,W2D2L2,SofaScore
2025-04-19,14:00,Premier League,Chelsea,Arsenal,1.6,3.88,3.55,W5D0L1,W5D2L1,SofaScore
2025-04-19,21:00,La Liga,Real Madrid,Barcelona,2.44,2.47,2.57,W2D0L0,W2D0L2,SofaScore
2025-04-19,13:00,La Liga,Atletico Madrid,Sevilla,2.21,3.7,2.5,W4D1L1,W4D2L3,SofaScore
2025-04-19,17:00,Serie A,Inter,Milan,2.58,4.52,3.04,W4D2L1,W1D2L3,SofaScore
2025-04-19,17:00,Serie A,Juventus,Napoli,1.8,2.82,3.61,W4D2L2,W5D0L3,SofaScore
2025-04-19,16:00,Bundesliga,Bayern Munich,Dortmund,2.01,2.18,2.51,W1D1L1,W5D2L2,SofaScore
2025-04-19,21:00,Bundesliga,Leipzig,Leverkusen,3.13,3.77,1.72,W2D2L2,W3D2L0,SofaScore
2025-04-19,21:00,Ligue 1,PSG,Marseille,1.77,3.39,2.55,W3D1L3,W5D0L3,SofaScore
2025-04-19,16:00,Ligue 1,Lyon,Monaco,3.29,2.53,2.33,W5D0L0,W4D2L2,SofaScore
2025-04-20,19:00,Premier League,Manchester City,Liverpool,3.61,3.08,2.86,W1D1L1,W4D2L0,SofaScore
2025-04-20,14:00,Premier League,Chelsea,Arsenal,1.71,4.27,2.53,W3D0L1,W1D1L3,SofaScore
2025-04-20,14:00,La Liga,Real Madrid,Barcelona,3.81,2.09,3.54,W2D0L1,W3D2L3,SofaScore
2025-04-20,15:00,La Liga,Atletico Madrid,Sevilla,2.61,3.28,1.96,W2D1L3,W1D0L2,SofaScore
2025-04-20,16:00,Serie A,Inter,Milan,3.48,4.03,1.98,W3D1L3,W3D2L2,SofaScore
2025-04-20,19:00,Serie A,Juventus,Napoli,1.55,2.33,3.39,W4D0L2,W3D0L0,SofaScore
2025-04-20,18:00,Bundesliga,Bayern Munich,Dortmund,1.77,4.77,1.6,W1D1L0,W5D2L3,SofaScore
2025-04-20,13:00,Bundesliga,Leipzig,Leverkusen,2.66,2.67,1.62,W1D2L0,W2D0L3,SofaScore
2025-04-20,13:00,Ligue 1,PSG,Marseille,1.98,4.93,2.44,W3D1L3,W5D2L1,SofaScore
2025-04-20,20:00,Ligue 1,Lyon,Monaco,2.02,2.0,1.76,W3D0L1,W4D0L1,SofaScore
2025-04-21,18:00,Premier League,Manchester City,Liverpool,2.02,4.11,2.35,W3D2L1,W5D2L0,SofaScore
2025-04-21,15:00,Premier League,Chelsea,Arsenal,1.84,2.7,2.29,W3D0L2,W1D1L1,SofaScore
2025-04-21,14:00,La Liga,Real Madrid,Barcelona,3.83,4.95,3.12,W1D2L3,W2D1L3,SofaScore
2025-04-21,18:00,La Liga,Atletico Madrid,Sevilla,3.81,4.84,2.57,W4D0L3,W5D2L2,SofaScore
2025-04-21,17:00,Serie A,Inter,Milan,2.42,2.11,2.14,W4D1L1,W5D2L3,SofaScore
2025-04-21,15:00,Serie A,Juventus,Napoli,3.02,2.09,2.25,W1D2L0,W3D0L2,SofaScore
2025-04-21,13:00,Bundesliga,Bayern Munich,Dortmund,3.46,2.5,2.61,W2D1L2,W1D0L0,SofaScore
2025-04-21,20:00,Bundesliga,Leipzig,Leverkusen,1.76,2.55,2.31,W1D0L3,W3D0L0,SofaScore
2025-04-21,17:00,Ligue 1,PSG,Marseille,3.5,3.11,2.09,W3D2L0,W2D0L1,SofaScore
2025-04-21,20:00,Ligue 1,Lyon,Monaco,3.1,3.32,3.74,W1D0L2,W1D1L1,SofaScore
2025-04-22,15:00,Premier League,Manchester City,Liverpool,1.83,4.67,2.3,W1D0L3,W5D0L3,SofaScore
2025-04-22,15:00,Premier League,Chelsea,Arsenal,3.24,3.67,2.39,W3D0L3,W5D1L3,SofaScore
2025-04-22,20:00,La Liga,Real Madrid,Barcelona,3.63,4.25,2.15,W4D2L0,W2D0L1,SofaScore
2025-04-22,14:00,La Liga,Atletico Madrid,Sevilla,2.91,3.78,3.19,W4D1L1,W1D2L2,SofaScore
2025-04-22,21:00,Serie A,Inter,Milan,3.39,4.37,2.29,W3D0L2,W2D0L3,SofaScore
