asian_handicap,away_form,away_odds,away_possession,away_shots,away_team,btts_no,btts_yes,date,draw_odds,home_form,home_odds,home_possession,home_shots,home_team,league,over_under_2.5,source,time
,W3D2L2,4.0,,,Liverpool,,,2025-04-19,4.13,W4D1L3,1.73,,,Manchester City,Premier League,,SofaScore,18:00
,W5D1L1,2.0,,,Arsenal,,,2025-04-19,2.06,W5D1L0,3.08,,,Chelsea,Premier League,,SofaScore,16:00
,W1D2L2,3.92,,,Barcelona,,,2025-04-19,4.19,W2D1L3,1.85,,,Real Madrid,La Liga,,SofaScore,21:00
,W1D0L3,3.63,,,Sevilla,,,2025-04-19,3.3,W2D0L1,1.73,,,Atletico Madrid,La Liga,,SofaScore,20:00
,W4D0L1,2.12,,,Milan,,,2025-04-19,3.6,W4D1L3,3.76,,,Inter,Serie A,,SofaScore,15:00
,W5D1L1,3.9,,,Napoli,,,2025-04-19,3.54,W2D2L1,2.85,,,Juventus,Serie A,,SofaScore,18:00
,W2D2L1,3.87,,,Dortmund,,,2025-04-19,2.82,W3D2L2,2.57,,,Bayern Munich,Bundesliga,,SofaScore,17:00
,W2D0L3,3.22,,,Leverkusen,,,2025-04-19,4.8,W3D2L0,2.72,,,Leipzig,Bundesliga,,SofaScore,19:00
,W4D1L0,2.01,,,Marseille,,,2025-04-19,3.83,W2D1L3,2.68,,,PSG,Ligue 1,,SofaScore,16:00
,W3D0L2,3.94,,,Monaco,,,2025-04-19,2.51,W3D0L0,2.92,,,Lyon,Ligue 1,,SofaScore,16:00
,W3D2L0,3.56,,,Liverpool,,,2025-04-20,3.03,W4D0L1,2.21,,,Manchester City,Premier League,,SofaScore,21:00
,W5D2L1,1.67,,,Arsenal,,,2025-04-20,2.0,W3D1L2,1.81,,,Chelsea,Premier League,,SofaScore,19:00
,W4D2L3,3.56,,,Barcelona,,,2025-04-20,4.13,W2D0L0,1.5,,,Real Madrid,La Liga,,SofaScore,15:00
,W1D1L2,3.81,,,Sevilla,,,2025-04-20,2.32,W3D1L3,2.92,,,Atletico Madrid,La Liga,,SofaScore,20:00
,W3D0L1,2.36,,,Milan,,,2025-04-20,4.22,W5D1L3,3.6,,,Inter,Serie A,,SofaScore,19:00
,W5D2L1,3.62,,,Napoli,,,2025-04-20,3.42,W3D1L1,3.09,,,Juventus,Serie A,,SofaScore,13:00
,W1D2L2,3.44,,,Dortmund,,,2025-04-20,4.01,W5D1L0,2.58,,,Bayern Munich,Bundesliga,,SofaScore,19:00
,W5D1L0,3.04,,,Leverkusen,,,2025-04-20,3.09,W3D1L3,3.13,,,Leipzig,Bundesliga,,SofaScore,13:00
,W4D2L0,1.82,,,Marseille,,,2025-04-20,2.64,W4D1L0,1.58,,,PSG,Ligue 1,,SofaScore,19:00
,W1D0L2,3.66,,,Monaco,,,2025-04-20,4.98,W1D1L0,3.86,,,Lyon,Ligue 1,,SofaScore,16:00
,W1D0L0,3.58,,,Liverpool,,,2025-04-21,3.84,W2D2L1,2.81,,,Manchester City,Premier League,,SofaScore,19:00
,W2D0L2,3.46,,,Arsenal,,,2025-04-21,4.18,W3D1L3,3.65,,,Chelsea,Premier League,,SofaScore,15:00
,W5D1L0,2.8,,,Barcelona,,,2025-04-21,3.26,W1D0L2,2.24,,,Real Madrid,La Liga,,SofaScore,20:00
,W2D1L2,3.03,,,Sevilla,,,2025-04-21,2.19,W3D0L2,3.87,,,Atletico Madrid,La Liga,,SofaScore,20:00
,W4D1L2,3.61,,,Milan,,,2025-04-21,4.29,W3D1L2,3.53,,,Inter,Serie A,,SofaScore,17:00
,W1D1L1,3.54,,,Napoli,,,2025-04-21,2.17,W3D2L1,3.58,,,Juventus,Serie A,,SofaScore,17:00
,W3D2L0,3.59,,,Dortmund,,,2025-04-21,2.02,W4D0L1,3.1,,,Bayern Munich,Bundesliga,,SofaScore,14:00
,W3D2L0,1.71,,,Leverkusen,,,2025-04-21,4.43,W3D2L2,2.25,,,Leipzig,Bundesliga,,SofaScore,21:00
,W2D0L1,2.14,,,Marseille,,,2025-04-21,4.14,W4D0L2,2.69,,,PSG,Ligue 1,,SofaScore,19:00
,W5D0L1,3.4,,,Monaco,,,2025-04-21,4.47,W2D0L2,3.29,,,Lyon,Ligue 1,,SofaScore,20:00
,W1D0L2,3.25,,,Liverpool,,,2025-04-22,3.45,W3D1L2,2.81,,,Manchester City,Premier League,,SofaScore,16:00
,W4D2L0,2.8,,,Arsenal,,,2025-04-22,3.66,W5D2L1,2.41,,,Chelsea,Premier League,,SofaScore,17:00
,W2D0L1,3.64,,,Barcelona,,,2025-04-22,2.08,W4D0L0,3.83,,,Real Madrid,La Liga,,SofaScore,16:00
,W2D2L2,2.58,,,Sevilla,,,2025-04-22,2.97,W4D0L1,1.66,,,Atletico Madrid,La Liga,,SofaScore,21:00
,W4D0L1,3.27,,,Milan,,,2025-04-22,2.5,W2D0L2,1.87,,,Inter,Serie A,,SofaScore,17:00
