asian_handicap,away_form,away_odds,away_possession,away_shots,away_team,btts_no,btts_yes,date,draw_odds,home_form,home_odds,home_possession,home_shots,home_team,league,over_under_2.5,source,time
,W4D1L0,3.11,,,Liverpool,,,2025-04-19,3.14,W4D2L1,3.25,,,Manchester City,Premier League,,SofaScore,14:00
,W4D2L3,3.71,,,Arsenal,,,2025-04-19,3.38,W2D1L1,2.67,,,Chelsea,Premier League,,SofaScore,14:00
,W3D0L3,3.54,,,Barcelona,,,2025-04-19,4.09,W2D1L0,3.78,,,Real Madrid,La Liga,,SofaScore,21:00
,W4D2L0,3.52,,,Sevilla,,,2025-04-19,2.99,W5D1L3,2.66,,,Atletico Madrid,La Liga,,SofaScore,21:00
,W4D1L0,2.09,,,Milan,,,2025-04-19,2.91,W5D0L3,2.89,,,Inter,Serie A,,SofaScore,20:00
,W1D2L2,3.79,,,Napoli,,,2025-04-19,4.1,W4D1L2,3.96,,,Juventus,Serie A,,SofaScore,13:00
,W3D0L2,1.53,,,Dortmund,,,2025-04-19,2.91,W4D1L0,3.66,,,Bayern Munich,Bundesliga,,SofaScore,21:00
,W1D0L1,3.95,,,Leverkusen,,,2025-04-19,2.14,W5D2L2,3.82,,,Leipzig,Bundesliga,,SofaScore,17:00
,W5D0L1,1.54,,,Marseille,,,2025-04-19,3.63,W3D0L1,2.82,,,PSG,Ligue 1,,SofaScore,13:00
,W5D2L1,2.85,,,Monaco,,,2025-04-19,4.75,W4D2L0,3.72,,,Lyon,Ligue 1,,SofaScore,13:00
,W2D0L3,3.74,,,Liverpool,,,2025-04-20,4.75,W3D2L0,3.0,,,Manchester City,Premier League,,SofaScore,16:00
,W1D1L3,2.38,,,Arsenal,,,2025-04-20,3.32,W2D1L3,3.84,,,Chelsea,Premier League,,SofaScore,21:00
,W2D0L3,3.21,,,Barcelona,,,2025-04-20,3.99,W2D1L0,1.89,,,Real Madrid,La Liga,,SofaScore,14:00
